appid,name,developer,publisher,score_rank,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Tower Defense,Fantasy,Co-op,Character Customization,Replay Value,Action RPG,Simulation
423062,UWT - 4. S.P. Texturing - Chapter 1.1,,,,689,954,714,1397,714,1397,164,137,164,137,0,,,,,,,,,,,,,,,,,,,,,
557580,Ancient Guardian,Hell Squirrel Games,Siberian Digital,43,1715,1501,1372,1342,1372,1342,67,67,81,81,2,699,,,,,,21,,,,,,,,,,,,,,
295810,Air Control,,,,2492,1469,996,1125,0,0,23,0,28,0,0,0,,,,,,,,,,,,,,,,,,,,
425550,CyberLink PhotoDirector 7 Ultra,CyberLink,"Koch Media , CyberLink",32,680,767,680,767,0,0,494,0,494,0,0,6999,,,,,,,,,,,,,,,,,,,,
417480,Marcus Level,3DDUO,"Fun4Family, Plug In Digital",18,2039,1329,1992,1591,667,1306,202,261,266,261,0,499,,,,,,23,,,,,,,,,,,,,,
386740,Puzzle Strike,Sirlin Games,Sirlin Games,50,1359,1085,1133,990,0,0,2584,0,3391,0,0,1499,,,21,,,,,,,,,,,,,,,,,
579800,Sniper Ghost Warrior 3 Open Beta,CI Games,CI Games,,689,954,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
576540,Brother Wings,Brogames,Brogames,41,686,949,0,0,0,0,0,0,0,0,1,99,,,,,,21,,,,,,,,,,,,,,
560740,Shtriga: Summer Camp,Game Cartel,Alawar Entertainment,100,714,1397,714,1397,714,1397,283,237,283,237,6,399,,,,,,,,,,,,,,,,,,,,
423270,ZHEROS,Rimlight Studios,Rimlight Studios,50,1034,1168,1034,1168,0,0,101,0,161,0,0,999,,,,,,23,,,,,,,,,,,,,,
10410,Futbol Manager 2008,,,,680,767,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
453730,Borstal,The Secret Pie,The Secret Pie,21,714,1397,714,1397,0,0,209,0,209,0,0,299,,,,,,,,,,,,,22,,,,,,,
418260,Gumball Drift,Ghost Machine,Ghost Machine,15,1029,1162,1029,1162,714,1397,15,1,17,1,0,1999,,,,,,21,,,,,,,,,,,,,,
394010,The Contact,Crusty Squirrel,Crusty Squirrel,2,714,1397,0,0,0,0,0,0,0,0,0,299,,,,,,21,,,,,,,21,,,,,,,20
24220,Everquest: House of Thule,,,,2719,1534,1133,990,0,0,1081,0,1555,0,1,0,,,,,,,,,,,,,,,,,,,,
461390,Bulby - Diamond Course,Rafael Senne,Paperdog Games,32,1586,1172,996,1125,667,1306,137,91,167,91,0,499,,,,12,,,,,,,,,,,,12,,,,
345790,Bridge Creator 2015,MKLab,MKLab,10,714,1397,714,1397,0,0,173,0,173,0,0,299,,,,,,,,,,,,,,,,,,,,22
463320,The Sea Eternal,Choice of Games,Choice of Games,8,1133,990,1133,990,667,1306,276,477,365,477,0,399,,,,,,,,,,,,,20,,,,,,,
350840,Bonetown - The Power of Death,CPsoft,CPsoft,0,686,949,0,0,0,0,0,0,0,0,0,799,,,,,,,,,,,,,,,,,,,,
