appid,name,developer,publisher,score_rank,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Tower Defense,Fantasy,Co-op,Character Customization,Replay Value,Action RPG,Simulation
570,Dota 2,Valve,Valve,73,81336626,234779,81336626,234779,7805346,81374,12241,1208,295,693,869726,0,21753,7488,7097,6441,4594,4376,3869,3447,3373,2442,2143,2002,1982,1914,1907,1772,1405,1403,1286,934
440,Team Fortress 2,Valve,Valve,90,33634145,162842,33634145,162842,1458759,35482,4487,585,246,253,70518,0,14974,,,8815,4124,6969,,3105,3363,,,,,,,3216,,,,
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,84,24131483,139849,19250679,125778,838464,26923,1140,462,170,91,37215,0,12526,,,9205,,5358,,,,,,,,,,4899,,,,
730,Counter-Strike: Global Offensive,Valve,Valve,80,23586403,138368,22975622,136684,7724467,80960,17372,887,5174,422,690779,1499,,,4059,12883,9730,10221,6239,5250,9043,5947,,2909,,,,4110,,,,
550,Left 4 Dead 2,Valve,Valve,98,13825020,107403,12071745,100606,594242,22673,2388,254,578,74,15993,1999,,,,2572,1083,2420,,1743,,,,,,,,3044,,554,,
240,Counter-Strike: Source,Valve,Valve,93,13513966,106233,9986574,91769,289305,15826,8342,439,688,60,10899,1999,,,247,1259,794,1536,290,,587,476,,183,,,,,,,,129
230410,Warframe,Digital Extremes,Digital Extremes,80,13153751,104860,8177568,83249,504075,20884,4202,914,283,212,37421,0,6333,,,2878,,3707,,1608,,,,,923,,,3092,,,,
340,Half-Life 2: Lost Coast,Valve,Valve,56,13078309,104570,2551412,46857,9968,2938,54,422,25,24,38,0,19,,,17,,188,,,,,,,,,,,,,,
320,Half-Life 2: Deathmatch,Valve,Valve,73,12301241,101525,3159021,52096,15859,3706,591,422,38,32,390,499,5,,,162,,178,,,54,,,,,,,25,,,,
227940,Heroes & Generals,Reto-Moto,Reto-Moto,26,11672337,98982,8055457,82639,311960,16434,731,305,49,42,9808,0,3746,,684,1939,,1554,,,,,185,,,,,686,,,,472
10,Counter-Strike,Valve,Valve,98,11492002,98239,8068371,82703,347755,17350,11361,816,449,105,27305,999,,,260,1432,789,2379,452,,669,360,,,,66,,,,,,
4000,Garrys Mod,Facepunch Studios,Valve,93,11378954,97770,10588292,94415,1049835,30118,5828,497,1008,126,56665,999,,,,8220,,3616,,3838,,,,,,,,4930,,,,4368
301520,Robocraft,Freejam,Freejam,35,10067679,92131,7228095,78369,174217,12283,1079,311,138,65,6106,0,2779,,617,1672,,1225,,,,1008,,,335,,,,,,,598
72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,90,9974114,91713,9521466,89664,581102,22421,6982,534,2806,125,31753,1999,,,,,,3042,,,,,,,7162,,5065,,1784,,1405,
236390,War Thunder,Gaijin Entertainment,Gaijin Entertainment,56,9379872,89012,5605993,69170,375168,18020,2800,516,291,123,17975,0,3038,,488,1602,653,1056,,,,,,,,,,496,,,,1659
80,Counter-Strike: Condition Zero,Valve,Valve,77,9261839,88464,3647237,55940,48029,6450,1964,342,83,32,1223,999,,,66,164,95,325,,24,110,,,,,,,,,,,
100,Counter-Strike: Condition Zero Deleted Scenes,Valve,Valve,77,9261839,88464,1659256,37832,9742,2905,197,364,33,12,103,999,,,66,164,95,325,,24,110,,,,,,,,,,,
220,Half-Life 2,Valve,Valve,98,8735562,85976,5013563,65465,68645,7711,733,237,305,60,1263,999,,,,326,,1554,,,,,,,,,,,,,,
400,Portal,Valve,Valve,99,8627271,85455,6072461,71944,55958,6962,314,127,177,44,625,999,,,166,,,582,,,,,,,,,,,,,,
8930,Sid Meiers Civilization V,"Firaxis Games, Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",95,8671222,85667,8184818,83285,561166,22034,10379,853,2450,332,46403,2999,,,3111,1749,,,,,,,,,,,,541,,542,,362
620,Portal 2,Valve,Valve,99,7935612,82035,6569965,74783,182373,12567,990,195,580,72,3195,1999,,,450,699,,1023,,1327,,,,,,,,2396,,,,
105600,Terraria,Re-Logic,Re-Logic,98,7293568,78716,6944907,76848,521972,21251,4651,524,1404,108,26970,999,,,,4108,,2470,,1831,,,,,2040,,,2795,,1249,,
444090,Paladins,Hi-Rez Studios,Hi-Rez Studios,67,7048440,77407,6034173,71721,1071584,30427,883,386,245,115,45672,0,1271,516,299,794,500,625,,392,,442,,,,,273,302,,,,
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,505 Games,50,6659226,75280,6154019,72418,392839,18439,3275,418,1001,118,13637,1999,,,1368,3542,2908,4778,,3736,,,,,,,,5162,,,,872
30,Day of Defeat,Valve,Valve,77,6666476,75320,1503842,36024,11328,3132,822,792,26,24,272,499,,,,94,60,82,,,,,,,,,,,,,,
40,Deathmatch Classic,Valve,Valve,59,6561583,74736,713181,24834,2719,1534,160,1920,8,2725,7,499,,,,46,,76,,,,,,,,,,,,,,
60,Ricochet,Valve,Valve,52,6548443,74662,758038,25602,2945,1597,24,6,3,3,10,499,,,,44,,95,,,,,,,,,,,,,,
304050,Trove,Trion Worlds,Trion Worlds,45,6465073,74194,5312610,67362,182147,12559,1220,404,128,66,7190,0,2019,,,1143,,751,,,,,,,680,,,572,,,,
218230,PlanetSide 2,Daybreak Game Company,Daybreak Game Company,59,6307393,73299,3925441,58013,116900,10062,1584,372,165,64,3660,0,1840,,255,581,654,956,,244,,303,,,161,,,291,,,,
224260,No More Room in Hell,No More Room in Hell Team,Lever Games,77,6353157,73560,4026709,58748,88355,8748,413,140,83,47,1408,0,2437,,,1386,,925,,884,,,,,,,,931,,,,
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac & Linux)","2K Games, Aspyr (Mac & Linux)",95,6195704,72658,5585603,69046,260760,15026,3748,430,1461,125,10729,1999,,,,1597,,2382,,778,,,,,2363,,,3033,,,1006,
273110,Counter-Strike Nexon: Zombies,Nexon,Nexon Europe GmbH,23,6233538,72876,3906184,57872,82011,8428,882,501,38,54,5188,0,2126,,,986,,817,,447,,471,,,,,,537,,,,
360,Half-Life Deathmatch: Source,Valve,Valve,35,6005628,71554,347982,17356,2492,1469,110,1826,10,2737,24,999,,,,63,,89,,,,,,,,,,,,,,
291480,Warface,Crytek,My.com,34,5744415,70005,3658338,56024,95604,9100,844,104,95,5,829,0,1571,,206,998,318,878,,503,,418,,,,,,766,,,,166
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,87,5739431,69975,3850000,57458,230402,14124,3245,801,245,171,16056,0,1961,,,975,,540,,275,,,,,1037,,476,282,241,,1162,
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,52,5762086,70111,5629328,69311,1428175,35110,6777,621,3708,225,99788,5999,,,,12921,,14963,,,,,,,3000,,,6381,,,,
300,Day of Defeat: Source,Valve,Valve,77,5668521,69548,2575426,47075,40326,5910,2013,517,104,60,1229,999,,,19,194,129,195,,9,,,,,,,,,,,,12
380,Half-Life 2: Episode One,Valve,Valve,93,5580166,69013,2190291,43436,16991,3836,308,416,202,62,205,799,,,,,,311,,,,,,,,,,,,,,
407530,ARK: Survival Of The Fittest,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,16,5596251,69110,1455587,35444,52107,6718,227,102,24,21,721,0,940,,221,497,,401,,,,285,,,253,,,,,,,
333930,Dirty Bomb,Splash Damage®,Warchest Ltd.,43,5407761,67954,3673290,56138,126868,10482,612,271,63,42,3313,0,1220,,,627,455,533,,,190,238,,,,,,262,,,,
70,Half-Life,Valve,Valve,95,5259824,67032,2048243,42012,32397,5297,542,340,95,30,595,999,,,,273,,645,,,,,,60,,,,,,,,
420,Half-Life 2: Episode Two,Valve,Valve,95,5071334,65836,1960568,41107,16765,3811,453,342,306,62,286,799,,,,44,,397,,,,,,,,,,,,,,
322330,Dont Starve Together Beta,Klei Entertainment,Klei Entertainment,95,4939255,64985,3795401,57054,320342,16653,1417,387,495,135,13271,1499,,,245,958,,191,,217,,,,329,,,,806,,,,237
489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,39,5027609,65556,1830981,39733,293156,15931,1402,595,239,130,17522,2999,,,,,,355,,,,,,,650,,529,,377,,,
20,Team Fortress Classic,Valve,Valve,56,4790411,64011,684183,24325,5890,2259,1058,1166,16,22,125,499,,,,145,93,190,,12,33,,,,,,,47,,,,
50,Half-Life: Opposing Force,Gearbox Software,Valve,93,4783841,63968,656090,23821,9062,2802,383,116,104,30,108,499,5,,,,,178,,,,,,,,,,13,,,,
130,Half-Life: Blue Shift,Gearbox Software,Valve,77,4757108,63791,614405,23054,6570,2385,190,66,67,55,57,499,,,,,,167,,,,,,,,,,,,,,
291550,Brawlhalla,Blue Mammoth Games,Blue Mammoth Games,70,4770248,63878,4369933,61172,443812,19598,731,224,139,56,10134,0,579,,,441,,313,,138,,,,,,,,171,,,,
208090,Loadout,Edge of Reality,Edge of Reality,65,4794489,64038,2860427,49593,24241,4582,383,85,114,33,263,0,2977,,,1378,,1694,,,,,,,,,,188,451,,,
252490,Rust,Facepunch Studios,Facepunch Studios,52,4517871,62187,4305140,60722,595601,22699,6042,1086,1357,338,56340,1999,,,,5081,,1951,,1184,,3096,,,,,,1375,,,,1045
273350,Evolve,Turtle Rock Studios,2K,23,4408900,61441,3058659,51269,62528,7360,573,114,108,31,814,0,,,297,839,588,1159,,660,,422,,,,,,841,,,,
252950,Rocket League,"Psyonix, Inc.","Psyonix, Inc.",90,4473014,61881,4288149,60604,1187125,32020,4532,506,1151,178,61629,1999,,,,1858,1191,845,,996,1221,,,,,,,760,,,,
386360,SMITE,Hi-Rez Studios,Hi-Rez Studios,62,4489778,61995,3341167,53564,292250,15906,1938,687,158,163,18428,0,1068,548,247,428,298,417,119,,258,199,,,115,,,224,,,,
10180,Call of Duty: Modern Warfare 2,"Infinity Ward, Aspyr (Mac)","Activision, Aspyr (Mac)",80,4490911,62003,4006320,58601,65247,7518,1419,154,574,49,1070,1999,,,83,700,,897,,252,,236,,,,,,283,,,,
10190,Call of Duty: Modern Warfare 2 - Multiplayer,"Infinity Ward, Aspyr (Mac)","Activision, Aspyr (Mac)",80,4490911,62003,3948323,58180,116447,10043,8712,193,2416,30,2360,1999,,,83,700,,897,,252,,236,,,,,,283,,,,
226320,Marvel Heroes 2015,Gazillion Entertainment,Gazillion Entertainment,39,4439937,61655,2055720,42088,38740,5793,2001,553,70,59,2223,0,1708,84,96,506,,586,,195,,,,,438,,,199,,,416,
630,Alien Swarm,Valve,Valve,93,4204551,60017,4204551,60017,24921,4646,319,438,100,35,286,0,667,,77,388,137,454,,324,,,,,,,,563,,,,
113400,APB Reloaded,Reloaded Productions,Reloaded Games,22,4099432,59270,2500891,46394,41006,5960,1701,427,143,102,1644,0,1183,,,598,,657,,,,326,,,,,,225,615,,,
43110,Metro 2033,4A Games,Deep Silver,84,4033959,58800,2608729,47377,13140,3374,439,150,155,52,181,1499,,,,,,562,,,,,,,,,,,,,,
500,Left 4 Dead,Valve,Valve,93,3995445,58522,2740808,48553,27413,4873,2285,306,448,57,624,1999,,,,509,318,535,,311,129,,,,,,,611,,103,,
22380,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,93,4050044,58916,3559109,55267,116220,10033,3494,487,1269,111,4656,999,,,,,,1077,,,,,,,2272,,,,467,,590,
203160,Tomb Raider,"Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",95,3956932,58242,3250321,52837,95378,9089,950,295,636,108,2384,1999,,,,476,,1654,,,,,,,158,,,,,,,
363970,Clicker Heroes,Playsaurus,Playsaurus,77,4045966,58887,3061830,51295,161757,11836,5870,1445,403,54,13643,0,500,,50,43,,32,,,,,,,90,,56,,,,,54
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,29,3960330,58267,3770707,56870,572946,22263,7375,1374,986,410,74233,2999,,,,4578,,2623,,,,,,,1569,,,2662,,,,
8870,BioShock Infinite,"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K Games, Aspyr (Mac)",93,3975962,58381,3055714,51244,48255,6465,887,192,643,74,1011,2999,,,,,,1787,,,,,,,135,,175,,,,,
109600,Neverwinter,Cryptic Studios,Perfect World Entertainment,45,3959197,58259,2473252,46139,52786,6762,1723,781,311,235,4252,0,1207,,,351,,423,,,,156,,,603,,361,168,211,,115,
20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",70,3906864,57877,2730614,48463,48255,6465,906,357,293,87,1652,1999,,,,,,728,,,,,,526,3046,,1888,,,,,
253710,theHunter,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",5,3874467,57639,2440855,45837,65020,7505,335,195,38,34,2155,0,1329,,171,775,,253,,289,,,,,,,,418,,,,733
219640,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,59,3759380,56785,3342073,53571,125736,10435,1105,141,296,40,1813,2499,,,,844,238,816,,,265,297,,139,,,,164,,,,143
24240,PAYDAY: The Heist,OVERKILL Software,Daybreak Game Company,87,3755528,56756,2899394,49927,27866,4913,519,121,175,44,259,1499,,,150,491,288,692,,491,,,,224,83,,,609,,,,104
8190,Just Cause 2,Avalanche Studios,Square Enix,84,3627527,55790,2867450,49653,47576,6420,1000,240,216,46,893,1499,,,,574,,1037,,,,,,,,,,136,,,,
12210,Grand Theft Auto IV,"Rockstar North, Rockstar Toronto",Rockstar Games,23,3642933,55908,3082220,51464,63434,7413,1369,229,443,39,1474,1999,,,,859,,1281,,,,,,,,,,233,,,,
339610,FreeStyle2: Street Basketball,Joycity,Joycity,37,3566812,55326,1697770,38267,37834,5725,702,345,64,74,1728,0,478,,81,147,,97,54,,65,,,,,,,77,,,,56
55230,Saints Row: The Third,Volition,Deep Silver,95,3559109,55267,2867224,49651,75894,8108,1563,244,903,112,3085,999,,,,221,,988,,397,,,,,152,,,653,318,,,
221380,Age of Empires II: HD Edition,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios",Microsoft Studios,87,3564999,55312,3215432,52555,293609,15943,2312,441,534,163,14519,1999,,,1237,672,,106,,,233,,1028,,,,,229,,147,,
33930,Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,84,3564546,55309,3152224,52040,65700,7544,3311,675,221,143,3883,1999,,,171,179,67,199,,,,,,50,,,,64,,,,241
346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,77,3556390,55246,2746019,48598,136837,10886,2487,410,191,25,2826,0,687,,63,,,,,,,,,,,,,,,,,199
219740,Dont Starve,Klei Entertainment,Klei Entertainment,98,3469395,54572,3010630,50868,112143,9855,1417,292,376,65,3416,1499,,,,448,,199,,,,,,323,,,,,,466,,398
439700,H1Z1: King of the Kill Test Server,Daybreak Game Company,Daybreak Game Company,11,3449232,54415,310148,16386,48255,6465,54,20,13,5,254,0,145,,,95,,94,,,,,,,,,,36,,,,
433850,H1Z1: King of the Kill,Daybreak Game Company,Daybreak Game Company,19,3449232,54415,2473479,46141,955590,28738,2806,713,645,229,96675,1999,,,,371,,299,,103,,286,,,,,,146,,,,
48000,LIMBO,Playdead,Playdead,90,3489784,54731,2119833,42735,24467,4604,181,52,105,14,176,999,,,,,,56,,,,,,135,,,,,,,,
377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,47,3534641,55078,3406867,54083,451289,19762,6518,738,3506,207,34119,2999,,,,,,2624,,,,,,,3916,,,,,,2332,
323370,TERA,"Bluehole Inc., En Masse Entertainment",En Masse Entertainment,54,3398938,54021,1935195,40842,50068,6586,1721,757,254,128,3023,0,687,,,136,,329,,,,142,,,362,,287,156,134,,156,
272350,Tom Clancys Ghost Recon Phantoms - EU,Ubisoft Singapore,Ubisoft,32,3441982,54358,2020604,41729,5664,2215,1355,102,200,8,101,0,,,,,,,,,,,,,,,,,,,,
42910,Magicka,Arrowhead Game Studios,Paradox Interactive,87,3294724,53194,2810586,49162,21069,4272,615,143,286,58,317,999,,,52,372,57,589,,375,,,,102,387,,402,535,,,51,
319630,Life Is Strange,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",95,3353854,53664,2062063,42152,103987,9490,489,213,166,76,2145,0,,,,,,411,,,,,,,,,,,,,,
409710,BioShock Remastered,"2K Boston, 2K Australia, Blind Squirrel",2K,9,3146334,51992,504981,20903,29225,5031,242,148,91,74,554,1999,,,,,,64,,,,,,,44,,,,,,,
7670,BioShock,"2K Boston, 2K Australia",2K Games,90,3145881,51989,2081999,42354,11781,3194,429,194,171,56,173,0,,,,,,760,,,,,,,392,,,,,,73,
221100,DayZ,Bohemia Interactive,Bohemia Interactive,28,3168536,52174,3140670,51946,167421,12041,4677,486,1264,120,8262,3499,,,,4202,,3343,,,,3802,,,,,,1229,,,,2566
42700,Call of Duty: Black Ops,Treyarch,Activision,70,3128210,51844,2972796,50550,47802,6435,1447,120,559,41,921,3999,24,,,325,,517,,138,,,,,,,,116,,,,
42710,Call of Duty: Black Ops - Multiplayer,Treyarch,Activision,70,3128210,51844,2630252,47570,44177,6186,4629,250,1143,48,1196,3999,24,,,325,,517,,138,,,,,,,,116,,,,
91310,Dead Island,Techland,Deep Silver,,3115749,51741,2674429,47965,25827,4730,1104,154,460,67,551,1999,,,,,,,,,,,,,,,,,,,,
321040,DiRT 3 Complete Edition,"Codemasters Racing Studio, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",80,3125265,51819,1636601,37574,100135,9313,297,97,109,33,1071,299,,,,,,,,,,,,,,,,,,,,
63380,Sniper Elite V2,Rebellion,Rebellion,70,3113257,51721,2291559,44422,36701,5638,514,115,194,51,723,2999,,,63,198,,510,,81,,,,,,,,241,,,,62
202090,Magicka: Wizard Wars,Paradox North,Paradox Interactive,,3048691,51186,1658350,37822,2058,1644,211,1,46,1,3,0,,,,,,,,,,,,,,,,,,,,
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,95,3101477,51623,2660383,47840,43498,6138,2415,287,523,49,919,1999,,,,665,382,779,,612,,,,119,,,,1037,,,,
227300,Euro Truck Simulator 2,SCS Software,SCS Software,98,3046198,51165,2838452,49403,411869,18880,3931,399,1162,133,21412,1999,,,,,,381,,,,,,,372,,,,,,,5621
10500,Empire: Total War,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",80,3069760,51361,2679866,48014,96964,9164,6183,463,1326,145,5558,1999,,,583,171,,81,,,,,182,,,,,,,,,
200510,XCOM: Enemy Unknown,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K Games, Feral Interactive (Mac), Feral Interactive (Linux)",93,3019919,50946,2565232,46983,51200,6660,3047,494,1387,155,2607,2999,,,1451,250,,247,,,,,,218,222,,,,205,294,,
200710,Torchlight II,Runic Games,Runic Games,93,2978686,50600,2691420,48116,48708,6496,1469,307,676,102,1316,1999,,,,415,,458,,447,,,,,948,,570,705,150,138,887,
204360,Castle Crashers,The Behemoth,The Behemoth,95,2988655,50683,2613714,47422,71363,7862,521,161,247,56,896,1499,,,,542,,766,,432,,,,,407,,212,780,,,197,
302830,BLOCKADE 3D,Shumkov Dmitriy,Shumkov Dmitriy,18,3113257,51721,2304019,44542,59130,7157,402,172,48,30,1354,0,895,,,486,,414,,264,,,,,,,,196,,,,
224600,Defiance,"Trion Worlds, Inc.","Trion Worlds, Inc.",45,3024676,50986,1500897,35989,19710,4132,1009,449,155,127,763,0,950,,,362,,539,,169,,,,,324,,,301,,,,
271290,HAWKEN,Reloaded Games,Reloaded Games,59,2933376,50216,1736963,38704,17444,3887,375,407,60,36,186,0,1548,,,1209,,1456,,,331,,,,,,,506,,,,
200260,Batman: Arkham City GOTY,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",95,2916612,50074,1628672,37483,34436,5462,970,219,503,81,862,1999,,,,,,995,,,,,,,,,,,,,,
42680,Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games, Aspyr (Mac)","Activision, Aspyr (Mac)",62,2939267,50266,2659930,47836,53919,6834,1405,170,554,36,1055,3999,20,,,575,,779,,223,,,,,,,,185,,,,
42690,Call of Duty: Modern Warfare 3 - Multiplayer,"Infinity Ward, Sledgehammer Games, Aspyr (Mac)","Activision, Aspyr (Mac)",62,2939267,50266,2536686,46723,84503,8555,6828,292,1685,60,3081,3999,20,,,575,,779,,223,,,,,,,,185,,,,
222880,Insurgency,New World Interactive,New World Interactive,80,2901886,49948,2403701,45489,202763,13251,1172,207,293,65,3096,999,,,577,1178,702,1107,,442,421,296,,,,,,598,,,,367
211500,RaceRoom Racing Experience ,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",13,2877645,49741,1130034,31243,26280,4771,251,130,25,51,527,0,656,,,318,,117,,41,,,,,,,,51,,,,317
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,87,2815117,49201,2677148,47990,267103,15207,2289,430,735,122,10653,2999,,,835,,,29,,,,,,,,,,,,267,,1186
20900,The Witcher: Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",65,2829843,49329,2032385,41850,32170,5279,929,406,170,131,1497,999,,,,,,520,,,,,,,1294,,794,,,,172,
206420,Saints Row IV,Deep Silver Volition,Deep Silver,84,2806055,49123,2388069,45342,91753,8915,1240,260,842,112,4245,1499,,,,278,,1072,,422,,,,,,,,683,468,,,
228200,Company of Heroes (New Steam Version),,,,2814664,49198,1138416,31359,76121,8120,2490,335,432,145,2930,0,,,,,,,,,,,,,,,,,,,,
242720,GunZ 2: The Second Duel,"Masangsoft, Inc.","Masangsoft, Inc.",26,2775244,48854,1068639,30385,10195,2972,516,47,57,24,98,0,935,,32,251,,527,,,,126,,,48,,,137,,,,
57300,Amnesia: The Dark Descent,Frictional Games,Frictional Games,93,2799032,49062,1575659,36871,15405,3653,248,118,81,47,130,1999,,,,,,151,,,,,,,,,,,,,,
33910,Arma 2,Bohemia Interactive,Bohemia Interactive,56,2759612,48718,2269810,44212,22202,4385,243,52,29,5,167,1299,,,235,306,,343,,,,,,,,,,160,,,,423
8980,Borderlands,Gearbox Software,2K Games,90,2756893,48694,2298129,44486,45310,6265,1878,271,796,100,1460,1999,,,,294,,584,,376,,,,,655,,,615,,,217,
409720,BioShock 2 Remastered,"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel",2K,6,2768448,48795,214543,13630,14952,3599,252,141,114,91,250,1999,,,,,,43,,,,,,,37,,,,,,,
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia, Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",77,2768448,48795,1121199,31121,6570,2385,450,228,154,104,141,0,,,,142,,374,,,,,,,102,,,,,,51,
355840,Survarium,Vostok Games,Vostok Games,11,2773885,48843,1551192,36585,27186,4853,282,181,32,43,763,0,1162,,,811,,505,,,,403,,,179,,,256,,,,
265630,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,84,2781814,48912,1841629,39847,69551,7762,326,177,88,42,774,0,701,,,459,,345,,132,,,,,37,,,109,,,,65
280,Half-Life: Source,Valve,Valve,52,2680546,48020,621202,23181,8609,2731,295,56,63,34,89,999,,,,32,,167,,,,,,,,,,,,,,
202970,Call of Duty: Black Ops II,Treyarch,Activision,62,2653133,47775,2193689,43469,34209,5444,559,242,204,17,540,5999,,,,938,263,984,,309,,,,,,,,375,,,,
202990,Call of Duty: Black Ops II - Multiplayer,Treyarch,Activision,62,2653133,47775,2318971,44686,118486,10130,5185,253,1174,39,3626,5999,,,,938,263,984,,309,,,,,,,,375,,,,
113200,The Binding of Isaac,Edmund McMillen and Florian Himsl,Edmund McMillen,95,2680999,48024,2391467,45374,51880,6704,1890,146,395,34,742,499,,,,,,733,,,,,,942,316,,,,,1026,,
4560,Company of Heroes,Relic Entertainment,SEGA,93,2676468,47984,1136377,31331,11328,3132,879,131,139,44,171,1999,,,442,216,13,208,,,,,370,,,,,71,,,,48
203140,Hitman: Absolution,"IO Interactive, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",77,2610089,47389,1984130,41352,48482,6480,946,269,511,136,1137,1999,,,85,106,,612,,,,,,112,,,,,,170,,
205100,Dishonored,Arkane Studios,Bethesda Softworks,98,2628666,47556,2226086,43787,46896,6374,1037,235,634,77,1352,999,,,,,,1253,,,,,,,414,,246,,,288,,
220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,73,2658117,47820,2364508,45119,57544,7060,1771,219,1019,47,1333,1999,,,,594,,1324,,283,,,,,203,,,596,,,,
209870,Blacklight: Retribution,Hardsuit Labs,Perfect World Entertainment,41,2580864,47125,1546660,36532,20616,4226,853,340,103,43,302,0,799,,,447,,416,,,87,,,,59,,,156,,,,
107410,Arma 3,Bohemia Interactive,Bohemia Interactive,77,2556623,46905,2512219,46498,399635,18598,11009,1081,2291,324,42671,3999,,,1515,2106,863,1881,,827,,,,,,,,1081,,,,2636
227700,Firefall,Red 5 Studios,Red 5 Studios,22,2603745,47332,1200718,32203,6117,2302,951,1566,86,273,109,0,930,,,351,,467,,,,142,,,337,,,263,,,,
34330,Total War: SHOGUN 2,"The Creative Assembly, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",84,2578598,47104,2290199,44409,105799,9573,4719,436,1387,116,5021,2999,,,616,127,,50,,,,,338,,,,,89,,,,
35140,Batman: Arkham Asylum GOTY Edition,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",95,2456261,45981,1545754,36521,16085,3733,662,173,378,83,0,1999,,,,,,844,,,,,,,,,,,,,,
99900,Spiral Knights,Grey Havens,,56,2466682,46078,1496819,35941,28998,5012,1263,329,93,51,708,0,718,,,306,,359,,307,,,,,386,,,175,,,110,
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,80,2484127,46239,2370172,45173,230402,14124,1148,275,612,97,7535,1499,,,,,,2100,,,,,,,,,,,,,,1550
211420,Dark Souls: Prepare to Die Edition,FromSoftware,BANDAI NAMCO Entertainment,77,2484353,46241,2219969,43727,108291,9685,2616,365,534,94,3951,1999,,,,434,,1750,,,,,,2118,3122,,1181,,339,458,557,
17410,Mirrors Edge,DICE,Electronic Arts,73,2439723,45827,1609642,37265,13820,3460,271,98,121,29,150,1999,,,,,,818,,,,,,,,,,,,,,
223710,Cry of Fear,Team Psykskallar,Team Psykskallar,67,2473252,46139,1588572,37021,19710,4132,153,67,46,28,175,0,692,,,457,,397,,294,,,,,,,,504,,,,
200210,Realm of the Mad God,Wild Shadow Studios,Deca Games,54,2463284,46046,1652460,37755,47123,6389,1200,274,76,34,1413,0,616,,78,273,,250,,,,,,160,365,,,122,,,,
12120,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,70,2459886,46015,1557308,36657,54825,6891,826,225,124,34,1399,1499,,,,562,,832,,,,,,,168,,,,,,,
206210,Gotham City Impostors: Free To Play,"Monolith Productions, Inc.",Warner Bros. Interactive Entertainment,62,2443801,45865,1204343,32251,17671,3912,325,53,54,27,145,0,672,,,331,,353,,103,,,,,,,,98,133,,,
312990,The Expendabros,Free Lives,Devolver Digital,98,2457167,45989,1543489,36494,27866,4913,149,55,64,30,221,0,434,,,214,,297,,,,,,,,,,146,,,,
