"","score_rank","average_forever","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR"
"65",93,887,2999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"66",45,1723,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"67",70,906,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"68",5,335,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"69",59,1105,2499,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"70",87,519,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"71",84,1000,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"72",23,1369,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"73",37,702,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"74",95,1563,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"75",87,2312,1999,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"76",84,3311,1999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"77",77,2487,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
"78",98,1417,1499,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0
"79",11,54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"80",19,2806,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"81",90,181,999,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0
"82",47,6518,2999,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"83",54,1721,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"85",87,615,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"86",95,489,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"87",9,242,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"88",90,429,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"89",28,4677,3499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"90",70,1447,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"91",70,4629,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"94",70,514,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"96",95,2415,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"97",98,3931,1999,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"98",80,6183,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"99",93,3047,2999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",93,1469,1999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
