@relation R_data_frame

@attribute score_rank numeric
@attribute average_forever numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric

@data
45,1723,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
70,906,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5,335,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
59,1105,2499,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
87,519,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
84,1000,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
23,1369,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
37,702,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
95,1563,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,2312,1999,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
84,3311,1999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,2487,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
98,1417,1499,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0
11,54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
19,2806,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
90,181,999,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0
47,6518,2999,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
54,1721,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,615,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
95,489,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
9,242,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
90,429,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
28,4677,3499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
70,1447,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
70,4629,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
70,514,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
95,2415,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
98,3931,1999,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
80,6183,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
93,3047,2999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1469,1999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
95,521,1499,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
18,402,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
45,1009,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
59,375,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
95,970,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
62,1405,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
62,6828,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
80,1172,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
13,251,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,2289,2999,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
65,929,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
84,1240,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
26,516,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
93,248,1999,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
56,243,1299,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
90,1878,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
6,252,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
77,450,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
11,282,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
84,326,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
52,295,999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
62,559,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
62,5185,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
95,1890,499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
93,879,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
77,946,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
98,1037,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
73,1771,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
41,853,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,11009,3999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
22,951,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
84,4719,2999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
95,662,1999,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
56,1263,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
80,1148,1499,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
77,2616,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
73,271,1999,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
67,153,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
54,1200,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
70,826,1499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
62,325,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
98,149,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
37,867,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
84,1591,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,4062,3999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
73,3314,1499,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
21,3717,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
95,387,1999,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
93,312,1499,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0
73,441,999,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
41,781,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
70,1765,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,530,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
98,1702,999,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
