"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"76",84,"[931,41947]",1999,1,1,1,0,1,0,1,0,0,0,0,0,0
"77",77,"[931,41947]",0,1,0,0,0,1,1,1,1,1,0,1,0,1
"78",98,"[931,41947]",1499,0,1,1,0,1,1,1,1,0,0,0,0,1
"79",11,"[ 22,   67)",0,0,1,1,0,0,1,0,0,0,0,0,0,0
"80",19,"[931,41947]",1999,0,1,1,0,0,1,0,0,0,0,0,0,0
"81",90,"[165,  203)",999,0,0,1,0,0,1,1,1,1,1,0,1,1
"82",47,"[931,41947]",2999,0,0,1,1,0,1,1,0,1,1,1,0,0
"83",54,"[931,41947]",0,0,1,1,1,0,1,0,0,0,0,0,0,0
"85",87,"[475,  931)",999,1,1,1,1,0,1,1,1,0,0,0,0,0
"86",95,"[475,  931)",0,0,0,1,0,0,1,1,1,1,1,1,0,0
"87",9,"[203,  246)",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
"88",90,"[317,  475)",0,0,0,1,1,0,1,1,0,0,1,1,0,0
"89",28,"[931,41947]",3499,0,1,1,0,1,1,0,1,0,1,0,0,0
"90",70,"[931,41947]",3999,0,1,1,0,0,1,1,0,0,0,0,0,0
"91",70,"[931,41947]",3999,0,1,1,0,0,1,1,0,0,0,0,0,0
"94",70,"[475,  931)",2999,1,1,1,0,1,1,1,0,0,0,0,0,0
"96",95,"[931,41947]",1999,0,1,1,0,0,1,1,0,0,0,1,0,0
"97",98,"[931,41947]",1999,0,0,1,1,1,1,1,1,1,1,0,0,0
"98",80,"[931,41947]",1999,1,1,1,0,0,1,1,0,0,1,1,0,0
"99",93,"[931,41947]",2999,1,1,1,1,0,0,1,0,0,1,1,0,0
"100",93,"[931,41947]",1999,0,1,1,1,0,1,1,1,0,1,0,0,0
"101",95,"[475,  931)",1499,0,1,1,1,0,1,0,1,1,0,1,0,1
"102",18,"[317,  475)",0,0,1,1,0,0,1,0,0,1,0,0,0,0
"103",45,"[931,41947]",0,0,1,1,1,0,1,1,0,1,0,0,0,0
"104",59,"[317,  475)",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"105",95,"[931,41947]",1999,0,0,1,0,0,1,1,0,0,1,0,0,0
"106",62,"[931,41947]",3999,0,1,1,0,0,1,1,0,1,0,0,0,0
"107",62,"[931,41947]",3999,0,1,1,0,0,1,1,0,1,0,0,0,0
"108",80,"[931,41947]",999,1,1,1,0,1,1,1,1,0,1,0,0,0
"109",13,"[246,  317)",0,0,1,1,0,1,1,1,0,0,0,0,0,0
"110",87,"[931,41947]",2999,1,0,1,0,1,0,1,0,1,0,1,0,0
"111",65,"[475,  931)",999,0,0,1,1,0,1,1,0,0,1,1,0,0
"112",84,"[931,41947]",1499,0,1,1,0,0,1,1,0,0,0,1,0,0
"114",26,"[475,  931)",0,1,1,1,1,0,1,1,1,0,0,0,0,0
"115",93,"[246,  317)",1999,0,0,1,0,0,1,1,1,0,1,1,1,0
"116",56,"[203,  246)",1299,1,1,1,0,1,0,1,0,0,0,0,0,0
"117",90,"[931,41947]",1999,0,1,1,1,0,1,1,0,0,0,0,0,0
"118",6,"[246,  317)",1999,0,0,1,1,0,1,1,0,0,1,0,0,0
"119",77,"[317,  475)",0,0,1,1,1,0,1,1,0,0,1,1,0,0
"120",11,"[246,  317)",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"121",84,"[317,  475)",0,0,1,1,1,1,1,0,1,0,0,0,0,0
"122",52,"[246,  317)",999,0,1,1,0,0,1,1,0,0,1,0,0,0
"123",62,"[475,  931)",5999,0,1,1,0,0,1,1,0,0,1,1,0,0
"124",62,"[931,41947]",5999,0,1,1,0,0,1,1,0,0,1,1,0,0
"125",95,"[931,41947]",499,0,0,1,1,0,1,1,1,0,1,1,0,1
"126",93,"[475,  931)",1999,1,1,1,0,1,1,1,0,0,0,0,0,0
"127",77,"[931,41947]",1999,1,1,1,0,0,1,1,0,0,1,0,0,0
"128",98,"[931,41947]",999,0,0,1,1,0,1,1,0,0,1,0,0,0
"129",73,"[931,41947]",1999,0,1,1,1,0,1,1,0,0,1,0,0,0
"130",41,"[475,  931)",0,0,1,1,1,0,0,1,0,0,0,0,0,0
"131",77,"[931,41947]",3999,1,1,1,0,1,0,1,0,0,0,0,0,0
"132",22,"[931,41947]",0,0,1,1,1,0,1,1,1,0,0,0,0,0
"133",84,"[931,41947]",2999,1,1,1,0,0,0,1,0,0,0,1,0,0
"134",95,"[475,  931)",1999,0,0,1,0,0,1,1,0,0,1,0,1,0
